CODE,SYMBOL
1,AUDCAD
2,AUDJPY
3,AUDNZD
4,AUDUSD
5,CADJPY
6,CHFJPY
7,EURAUD
8,EURCAD
9,EURCHF
10,EURGBP
11,EURJPY
12,EURUSD
13,GBPCHF
14,GBPJPY
15,GBPUSD
16,NZDJPY
17,NZDUSD
18,USDCAD
19,USDCHF
20,USDJPY
22,AUDCHF
23,AUDDKK
24,AUDNOK
25,AUDSEK
26,CADCHF
27,CHFNOK
28,EURDKK
29,EURNZD
30,EURPLN
31,EURSEK
32,EURSGD
33,EURZAR
34,GBPAUD
35,GBPCAD
36,GBPNOK
37,GBPNZD
38,GBPSGD
39,NOKJPY
40,NZDCAD
41,NZDCHF
42,NZDGBP
43,SEKJPY
44,USDAED
45,USDBHD
46,USDDKK
47,USDEGP
48,USDHKD
49,USDJOD
50,USDKWD
51,USDMXN
52,USDNOK
53,USDPLN
54,USDQAR
55,USDSAR
56,USDSEK
57,USDSGD
58,USDTHB
59,USDZAR
60,XAGUSD
61,XAUUSD
71,SPX500USD
72,NAS100USD
73,US30USD
